UTC,latitude,longitude,Quality_Indi,Satellites_Used,HDOP,QZSS,GPS_L5
123517.00,35.5381115,139.68973733,1,08,1.47,0,0
123517.20,35.53811133,139.68973883,1,09,1.30,5,13
123517.40,35.538111,139.68974133,1,09,1.30,5,13
123517.60,35.53811083,139.6897415,1,09,1.30,5,13
123517.80,35.53811083,139.68974217,1,09,1.30,5,13
123518.00,35.538111,139.6897435,1,09,1.30,5,13
123518.20,35.53811083,139.689744,1,09,1.30,5,13
123518.40,35.53811067,139.689745,1,09,1.30,5,13
123518.60,35.53811083,139.68974583,1,09,1.30,5,13
123518.80,35.53811067,139.6897465,1,09,1.30,5,13
123519.00,35.53811083,139.68974783,1,09,1.30,5,13
123519.20,35.53811083,139.68974883,1,09,1.30,5,13
123519.40,35.53811083,139.68975,1,09,1.30,5,13
123519.60,35.5381105,139.68975067,1,09,1.30,5,13
123519.80,35.53811067,139.68975167,1,09,1.30,5,13
123520.00,35.5381105,139.68975233,1,09,1.30,5,13
123520.20,35.53811083,139.68975333,1,09,1.30,5,13
123520.40,35.5381105,139.68975433,1,09,1.30,5,13
123520.60,35.5381105,139.6897545,1,09,1.30,5,13
123520.80,35.53811083,139.68975567,1,09,1.30,5,13
123521.00,35.53811067,139.68975633,1,09,1.30,5,13
123521.20,35.5381105,139.68975683,1,09,1.30,5,13
123521.40,35.53811067,139.6897575,1,09,1.30,5,13
123521.60,35.5381105,139.68975817,1,09,1.30,5,13
123521.80,35.53811067,139.6897585,1,09,1.30,5,13
123522.00,35.53811033,139.68975933,1,09,1.30,5,13
123522.20,35.5381105,139.68976,1,09,1.30,5,13
123522.40,35.5381105,139.68976017,1,09,1.30,5,13
123522.60,35.53811067,139.68976083,1,09,1.30,5,13
123522.80,35.53811067,139.6897615,1,09,1.30,5,13
123523.00,35.53811067,139.68976167,1,09,1.30,5,13
123523.20,35.53811067,139.6897625,1,09,1.30,5,13
123523.40,35.53811083,139.689763,1,09,1.30,5,13
123523.60,35.53811083,139.68976367,1,09,1.30,5,13
123523.80,35.53811083,139.689764,1,09,1.30,5,13
123524.00,35.53811083,139.68976433,1,09,1.30,5,13
123524.20,35.53811067,139.68976467,1,09,1.30,5,13
123524.40,35.53811067,139.68976517,1,09,1.30,5,13
123524.60,35.53811067,139.6897655,1,09,1.30,5,13
123524.80,35.53811083,139.68976583,1,09,1.30,5,13
123525.00,35.5381105,139.68976633,1,09,1.30,5,13
123525.20,35.5381105,139.6897665,1,09,1.30,5,13
123525.40,35.53811067,139.68976733,1,09,1.30,5,13
123525.60,35.5381105,139.68976783,1,09,1.30,5,13
123525.80,35.53811067,139.68976833,1,09,1.30,5,13
123526.00,35.53811067,139.6897695,1,09,1.30,5,13
123526.20,35.53811067,139.68977033,1,09,1.30,5,13
123526.40,35.5381105,139.689771,1,09,1.30,5,13
123526.60,35.5381105,139.68977167,1,09,1.30,5,13
123526.80,35.5381105,139.689772,1,09,1.30,5,13
123527.00,35.5381105,139.68977233,1,09,1.30,5,13
123527.20,35.5381105,139.6897725,1,09,1.30,5,13
123527.40,35.5381105,139.689773,1,09,1.30,5,13
123527.60,35.53811033,139.68977317,1,09,1.30,5,13
123527.80,35.5381105,139.6897735,1,09,1.30,5,13
123528.00,35.5381105,139.6897735,1,09,1.30,5,13
123528.20,35.5381105,139.68977417,1,09,1.30,5,13
123528.40,35.53811033,139.68977433,1,09,1.30,5,13
123528.60,35.53811067,139.689775,1,09,1.30,5,13
123528.80,35.53811017,139.68977533,1,09,1.30,5,13
123529.00,35.53811017,139.68977567,1,09,1.30,5,13
123529.20,35.53811017,139.689776,1,09,1.30,5,13
123529.40,35.53811017,139.68977617,1,09,1.30,5,13
123529.60,35.53811033,139.6897765,1,09,1.30,5,13
123529.80,35.53811017,139.68977683,1,09,1.30,5,13
123530.00,35.53811033,139.689777,1,09,1.30,5,13
123530.20,35.53811017,139.6897775,1,09,1.30,5,13
123530.40,35.53811033,139.68977767,1,09,1.30,5,13
123530.60,35.53811017,139.68977817,1,09,1.30,5,13
123530.80,35.53811017,139.68977833,1,09,1.30,5,13
123531.00,35.53811033,139.6897785,1,09,1.30,5,13
123531.20,35.53811,139.68977883,1,09,1.30,5,13
123531.40,35.53811033,139.689779,1,09,1.30,5,13
123531.60,35.53811,139.689779,1,09,1.30,5,13
123531.80,35.53811017,139.68977933,1,09,1.30,5,13
123532.00,35.53810967,139.689779,1,09,1.30,5,13
123532.20,35.53810983,139.68977967,1,09,1.30,5,13
123532.40,35.5381095,139.68977967,1,09,1.30,5,13
123532.60,35.53810967,139.68978,1,09,1.30,5,13
123532.80,35.5381095,139.68978017,1,09,1.30,5,13
123533.00,35.5381095,139.6897805,1,09,1.30,5,13
123533.20,35.5381095,139.68978067,1,09,1.30,5,13
123533.40,35.53810933,139.68978067,1,09,1.30,5,13
123533.60,35.53810933,139.689781,1,09,1.30,5,13
123533.80,35.53810917,139.689781,1,09,1.30,5,13
123534.00,35.53810933,139.68978133,1,09,1.30,5,13
123534.20,35.53810917,139.6897815,1,09,1.30,5,13
123534.40,35.53810917,139.68978183,1,09,1.30,5,13
123534.60,35.53810933,139.689782,1,09,1.30,5,13
123534.80,35.53810917,139.689782,1,09,1.30,5,13
123535.00,35.53810917,139.6897825,1,09,1.30,5,13
123535.20,35.53810917,139.68978233,1,09,1.30,5,13
123535.40,35.53810917,139.68978267,1,09,1.30,5,13
123535.60,35.538109,139.6897825,1,09,1.30,5,13
123535.80,35.538109,139.68978233,1,09,1.30,5,13
123536.00,35.538109,139.68978267,1,09,1.30,5,13
123536.20,35.53810883,139.68978267,1,09,1.30,5,13
123536.40,35.53810867,139.6897825,1,09,1.30,5,13
123536.60,35.53810883,139.689783,1,09,1.30,5,13
123536.80,35.538109,139.689783,1,09,1.30,5,13
123537.00,35.53810867,139.68978333,1,09,1.30,5,13
123537.20,35.53810883,139.68978333,1,09,1.30,5,13
